Post,Sentiment,Matched Phobias,Matched Keyword
"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3",Negative,"",""
"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all.",Positive,"Nyctophobia,","Night,"
"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome.",Negative,"",""
"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness.",Negative,"",""
"has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.",Negative,"",""
"saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.",Neutral,"",""
"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999.",Negative,"",""
", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue.",Neutral,"",""
"Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO",Negative,"",""
"We are not who you think we are. We are Golden.",Negative,"",""
"I am a lumberjack with a Castro Hat.",Negative,"",""
"The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.",Negative,"",""
"actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D",Negative,"",""
"thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.",Negative,"",""
"drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;",Negative,"",""
"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!",Positive,"",""
"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?",Positive,"",""
"is open to requests.",Positive,"",""
"is frankly at a loss as far as her current internal project.",Negative,"",""
"is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).",Neutral,"Nyctophobia,","night,"
"can't sleep. Remedies?",Negative,"",""
"Why are the people I want to talk to never online when I am?",Negative,"",""
"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life.",Negative,"",""
"is in love with her hair today. <3",Positive,"",""
"was right. :) Today was pretty much fantastic, all around.",Positive,"",""
"feels tomorrow will be a busy and very nice day. :)",Positive,"",""
"is in the last day of her two-day mad dash to finish. Can she get all her work done it time???",Positive,"",""
"Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?",Neutral,"",""
"had a three hour nap this afternoon and can't sleep because of it.",Neutral,"",""
"My dogs are so hood.",Neutral,"Cynophobia,","dogs,"
"is on a roll; one short of a turkey, now.",Negative,"",""
"can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain.",Negative,"Claustrophobia,","insides,"
"is reflecting on it and is actually very happy she's not in IB right now.",Positive,"",""
"has her class ring in with it's changes! Whoop whoop! <3 :D",Positive,"",""
"KISS. KISS. LICK. <3",Positive,"",""
"is too lazy to put her stuff back in order. Maybe tomorrow.",Negative,"",""
"has a serious crush on *PROPNAME*. <3",Negative,"",""
"has bed bugs..... ewwwww!",Positive,"",""
"and mosquito bites",Neutral,"",""
"Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles",Negative,"",""
"is annoyed with herself",Negative,"",""
"is not turning on her cell at the moment, or for the next few days- dont take it personally.",Negative,"",""
"Is trying to figure out everything.....",Neutral,"",""
"wants no more friend or exboyfriend drama drama",Neutral,"",""
"is out for the count",Neutral,"",""
"Its the little things in life- fresh flowers, katie ion, netflix instant movies",Positive,"",""
"is bummed the instant movie didnt pull through",Negative,"",""
"wants to go to paris. anyone care to accompany me?",Neutral,"",""
"one minute at a time",Neutral,"",""
"Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload.",Negative,"",""
"really hates California's economy right now",Neutral,"",""
"I lost.....my ex is in a relationship before me",Negative,"",""
"Is having a great day so far, thanks to santa paula noon meetings. and my mom.",Positive,"",""
"is *PROPNAME*'s bestbian",Negative,"",""
"misses the ability to drive",Negative,"",""
"Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol.",Negative,"",""
"Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene",Negative,"Cynophobia,","dog,"
"anthony bourdain bliss",Positive,"",""
"Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day.",Negative,"",""
"is on her way up north to face her judgement",Positive,"",""
"Target is my savior- sandals, dresses and shirts, oh my!",Negative,"",""
"is slightly smitten with the phoenix family. its weird, i know.",Positive,"",""
"is hoping to finally get a break tomorrow!",Neutral,"",""
"rhinanna is just getting crazier and crazier. or more stupid.",Neutral,"",""
"feels like a bum without legs",Neutral,"",""
"Having a job again is weird, but welcome.",Negative,"",""
"is 3 years to go",Neutral,"",""
"s electronics are giving out.",Neutral,"",""
"is celebrating her 90th day with dieting and work whahooo! not.",Positive,"",""
"is in love with her new black peacoat. Who else is pumped it's fall?",Positive,"",""
"is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea",Negative,"",""
"hates the business that is the United States' healthcare system",Neutral,"",""
"thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck.",Negative,"",""
"is excited for NBC thursdays- especially excited for community",Positive,"",""
"is in love with *PROPNAME*.",Neutral,"",""
"""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie.",Very positive,"",""
"is flashing lights kanye style",Negative,"",""
"i got a break! a $3000 healthcare break! whoooooo",Neutral,"",""
"is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you.",Negative,"",""
"ARGGGGGGGGGGGGG!!!!!!!",Neutral,"",""
"true blood is getting me in the halloween spirit. damn, bill is hot.",Positive,"Hemophobia,","blood,"
"michael scott dancing in the booze cruise episode is really entertaining to me right now.",Positive,"",""
"the office, cleaning, and hanging con mi madre are my drugs of choice this evening",Negative,"",""
"RIP Prague nights Fall semester 2007",Neutral,"Nyctophobia,","nights,"
"needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?",Neutral,"",""
"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!",Negative,"",""
"is ready for her day off",Neutral,"",""
"life is looking up",Neutral,"",""
"is excited to kick it old school with an old friend in a new place",Positive,"",""
"why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica.",Negative,"",""
"is rediscovering her love for bjork",Neutral,"",""
"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off.",Negative,"Agoraphobia,","outside,"
"wants to find a way to san fran after the new year",Neutral,"",""
"is in love. With *PROPNAME*.",Neutral,"",""
"is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed",Negative,"",""
"thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined. im sooooooo lucky to have so many great souls in my life.",Positive,"",""
"is very excite for today and this weekend.",Positive,"",""
"its a beautiful fall day in southern california.",Positive,"",""
"s g-ma is the coolest",Neutral,"",""
"wishes she was moving on up in the world. but at least she has ja'mie to get her through it.",Negative,"",""
"Today is my 2 month birthday!",Positive,"",""
"intervention- heroine and xanax and crack- oh my.",Neutral,"",""
"is having a bad day. not even target, shoes, nor a good guacamole carls jr. burger could bring me up.",Negative,"",""
"summer heights high. ja'mie, jonah, and mr. g. im hooked on chris lilley.",Negative,"Acrophobia,","high,"
"Um, amy poehler is rocking my world right now. seriously, the bad date rant was HYSTERICAL. tivo that shit. and by that shit, i mean parks and recreation.",Positive,"",""
"Ten Movies to Watch Right Now (and some you can Instant Netflix) 1. La Vie En Rose 2. Shrink (if you love LA) 3. Paris Je'taime (if you love Paris) 3. Clay Pidgeons (*PROPNAME* is priceless) 4. Quills 5. Away We Go 6. Sunshine Cleaning 7. A League of Their Own 8. Smart People (I Heart *PROPNAME*'s Page and SJP) 9. Frost//Nixon 10. Doubt",Neutral,"",""
"is stuck on Band-Aid brand, cuz Band-Aid's stuck on me!",Negative,"",""
"Just going to grab some raw fish................",Negative,"",""
"saw HP6... funny, lots of awesome awkward silences, but the scriptwriter needs to have his fingers broken. Not only did they achieve new and improved levels of editing important plot elements out, but they are getting increasingly more creative with the n",Positive,"",""
"Need to re-learn my patterns again... awesome...",Neutral,"",""
"FREE SLURPEE DAY!!!",Neutral,"",""
"has GOT to stop waking up at 1pm...",Neutral,"",""
"is not feeling exactly top-notch...",Positive,"",""
"will have too many notifications at the next log in...",Negative,"",""
"First day of school done! finances are going to be the end of me...",Neutral,"",""
"is tired and for some reason is looking forward to classes starting...",Negative,"",""
"2 months of hell yet again... FML",Negative,"",""
"got to play with fire in front of a crowd... YAY!!!",Positive,"",""
"is in love with Ren Fest...",Positive,"",""
"3 DAYS!!!!!!!!!!!!!",Neutral,"",""
"What a great day!!!",Positive,"",""
"loves the Pirate English version of Facebook!!!",Positive,"",""
"has a choice...",Neutral,"",""
"2 DAYS!!!!!!!!!!!!!!!",Neutral,"",""
"Ren Fest with rain - Still good!!!",Positive,"",""
"kindly thanks everyone who wished him a happy birthday!",Positive,"",""
"finance class :(",Neutral,"",""
"GETS TO SLEEP TONIGHT!!!!!!!!!",Negative,"",""
"3 HOURS LEFT!!!!!!!!!!",Neutral,"",""
"As much as I like our family's mechanic, I really wish we'd stop giving him so much business... :(",Negative,"",""
"is dying!!! HEEEEELPPPPP!!!!!",Neutral,"",""
"Saturday was easily one of the best days of my entire LIFE!!!",Positive,"",""
"feeling slightly better...",Neutral,"",""
"I've done it - i procrastinated enough by playing Bejeweled Blitz to cause it to go offline. MLIA",Positive,"",""
"is potentially going to be pulling an all-nighter. feel free to txt to keep me entertained//awake...",Positive,"",""
":))))))))",Negative,"",""
"finally caught up on sleep :D now off to rake more leaves and then lose sleep yet again while studying accounting - call me if ur bored, i'll be up late...",Negative,"",""
"ATTENTION EVERYONE!!! Vote for the short ""AFTER HOURS"" to support *PROPNAME* - our local Michigan talent and a wonderful person. Repost please!!! http:////www.thirteen.org//sites//reel13//category//vote//",Positive,"",""
"is looking forward to eating his body weight tomorrow :)",Neutral,"",""
"Yesterday after school, I got bored and decided to go into the backyard and play with my slingshot. I didn't have any ammo, so I just used peanuts and shot them at trees. I decided to shoot at one really far away. Out of nowhere, a squirrel leaped out of a tree, intercepted the peanut, landed on another tree, ate the peanut, gave me what looked like a thumbs-up, and ran away. Ninja squirrel, you amaze me. MLIA.",Negative,"",""
"would love to sleep, but *PROPNAME* writes too damn well!!!",Negative,"",""
"is rather looking forward to the holidays because of his potential whereabouts during that...",Neutral,"",""
"gets overly excited when pressing the wrong buttons on the keyboard causes the discovery of a new shortcut :)",Negative,"",""
"considers himself to be one of the luckiest men EVER!!! ^_^",Neutral,"",""
"WOW!!! I just spent 20 minutes reading just this one strip... http:////xkcd.com//657//",Negative,"",""
"can't handle reading any more crap about Barbies and other competing brand dolls!!! This is ridiculous - the only thing making me feel a little more manly is the beer in my hand...",Negative,"Pediophobia,","dolls,"
"acquired 6 brothers and sisters today...",Neutral,"",""
"4 school days left until winter break!!! YAY!!!",Neutral,"",""
"will probably be up all night - feel free to txt or chat...",Positive,"Nyctophobia,","night,"
"LMAO: (512): you kept spraying the cat with water and then telling it to ""man up"" when it cried",Positive,"",""
"listening to some VERY odd combinations of music and blames the late hour for it...",Neutral,"",""
"wishes it was December 17th sooner :(",Negative,"",""
"cannot wait to pass out - too bad that's not gonna happen til friday night...",Negative,"Nyctophobia,","night,"
"gonna be at the library til late, then at the Prez's house even later. txt or facebook if need anything - call if being killed...",Negative,"",""
"well.... expected returns are like ""oh, it's just you..."" but unexpected returns are like ""WHOA!!!""",Neutral,"",""
"can't believe how much food and beverages were consumed last night...",Neutral,"Nyctophobia,","night,"
"SNOW!!!",Neutral,"",""
"stupid people are stupid and Beverly Hills Police is at it's best as usual... ( *PROPNAME* needs to call me!!!)",Very negative,"",""
"EPIC:  Today while walking on campus I saw three people riding a motorized couch.  Random?  MLIA.",Neutral,"",""
"is excited for relaxing a little bit tonight :)",Negative,"",""
"got home today. Up north was GREAT!!!",Neutral,"",""
"can't wait til thursday... <3",Negative,"",""
"Happy New Year, Facebook denizens!!!",Positive,"",""
"apparently the mysterious ""*PROPNAME*"", who allegedly works for my company decided to order more stuff for me from some office supply company. I'm supposed to get 4 more packages tomorrow... hmmmm.... i almost have enough to build an epic fort!!!",Negative,"",""
"MLIG!!!",Neutral,"",""
"can't wait til thursday again... <3",Negative,"",""
"being fancy is fun...",Positive,"",""
"OMG!!! THE SUN IS TOOOO LOUD!!!!!!!!",Negative,"",""
"second half of the day got snowed in - gonna take a nap and then be productive :)",Negative,"",""
"just had the most amazing weekend: 3rd Dan test went well, everyone passed with flying colors. Valentine's day was spent well in the company of the best girlfriend in the world - *PROPNAME*. What more could I ask for? p.s. Thank you to everyone who could make it out to Novi to watch me test or to celebrate at the banquet afterward - it really means a lot to me.",Positive,"Pteromerhanophobia,","flying,"
"just had the most amazing weekend: 3rd Dan test went well, everyone passed with flying colors. Valentine's day was spent well in the company of the best girlfriend in the world - *PROPNAME*. What more could I ask for?",Positive,"Pteromerhanophobia,","flying,"
"Back from vacation and tired",Negative,"",""
"Its a good night for fishing.",Positive,"Nyctophobia,","night,"
"Damn close game on Monday. My Dolphins almost pulled it off!",Neutral,"",""
"It was a close one! But a W is a W, GO DOLPHINS!",Negative,"",""
"Sick as shit.",Neutral,"",""
"HAPPY VETERANS DAY!!! Thank a veteran dammit!",Positive,"",""
"How about thems steelers?",Neutral,"",""
"Done with Finals",Neutral,"",""
"Passed the PRAXIS",Neutral,"",""
"Nicel little test for *PROPNAME*!! Way to show them *PROPNAME* how to play PRO football!!",Neutral,"",""
"had a great day at church...",Positive,"",""
"so not a day for work... good thing I'm working nights this week... :D",Positive,"Nyctophobia,","nights,"
"transformers watched....",Neutral,"",""
"is living life one day at a time",Positive,"",""
"just watched an episode of locked up abroad... dont take your freedom for granted people... its a blessing...",Negative,"",""
"is going to die to self",Negative,"",""
"is happy for his gf. Congrats babe, I knew you could do it!!",Negative,"",""
"In contemplation mode...",Neutral,"",""
"Jesus said to love others as you love yourself... So FIRST you have to love yourself!!",Positive,"",""
"is trying to fight it off",Negative,"",""
"is doing to die to self...",Negative,"",""
"had a great weekend with her... we have to do that again babe...",Positive,"",""
"is kinda having a rough morning... but its looking up...",Neutral,"",""
"is worn and battle weary... but i refuse to give up...",Negative,"",""
"Today is another day. You dont get better by making a right choice once. You get better by making the right choice... everyday... over and over again...",Neutral,"",""
"is learning... constantly",Neutral,"",""
"first time in a long time... I feel like writing...",Negative,"",""
"is at an interesting stage in his life...",Positive,"",""
"is sick.",Negative,"",""
"is...",Neutral,"",""
"is etching closer to becoming stir crazy..",Positive,"",""
"is back home... sleepy but cant sleep just yet...",Negative,"",""
"needs to tie up loose ends...",Neutral,"",""
"is going to sleep... soon",Negative,"",""
"has had an interesting start to saturday",Positive,"",""
"is transitioning",Neutral,"",""
"had a great night",Positive,"Nyctophobia,","night,"
"is going to spend some time with her...",Neutral,"",""
"has tied up one loose end... feels lighter already",Negative,"",""
"is still patiently waiting for 9",Neutral,"",""
"bye fb",Neutral,"",""
"is sick",Negative,"",""
"After a slight rebuild... Betsy 2.0 lives to surf the net again!!",Negative,"",""
"Merry Christmas people!!!",Neutral,"",""
"feels loved and appreciated...",Positive,"",""
"had a wonderful night with family and friends... the night cap was wonderful though... WEEEEE!! I got my shirt!!!",Positive,"Nyctophobia,Nyctophobia,","night,night,"
"is celebrating with her...",Neutral,"",""
"Celebrating 1 year...",Neutral,"",""
"is smiling",Neutral,"",""
"There can be no complaints from the Arsenal fans about today's results... wunna get wash off...",Negative,"",""
"I have no excuses, least of all for God.  Like all tyrants, he is not worthy of the spit you would waste on negotiations.  The deal we have is infinitely simpler--i don't call him to account, and he extends me the same courtesy...",Neutral,"",""
"Back",Neutral,"",""
"Rip open the diseased heart of a corporation and what spills out? -On people",Positive,"",""
"You're wicked overseer",Positive,"",""
"""Keep government away from my medicare!""  As good a summary of American politics as one is likely to get these days.",Negative,"",""
"Turn your lamp down low.",Negative,"",""
"HOLY. FUCK. http:////www.youtube.com//watch?v=yPJgZd7fRPs",Neutral,"",""
"""What's brown and rhymes with Snoop?"" ""Dr. Dre?"" ""Fuck you, Carl.""",Neutral,"",""
"""We operate by consensus."" ""What if the Americans object?"" ""We don't operate.""",Neutral,"",""
"The only fear I have, Is my failure to adhear his path",Negative,"",""
"That, ladies and gentlemen, was a season opener.",Negative,"",""
"Things that are irritating: Microsoft excel.",Negative,"",""
"The best way to describe *PROPNAME* is as an IRL troll.",Negative,"",""
"Record so hard it broke the needle.",Negative,"Trypanophobia,","needle,"
"Even when it's free it ain't cheap.",Negative,"",""
"""I find it absolutely appalling that anyone could believe that political affiliation would be used to determine who receives medical treatment. That's what race and socioeconomic standing are for.""",Negative,"",""
"Thanks folks.",Neutral,"",""
"What the fuck, Steelers?",Negative,"",""
"In other news, the Steelers 4th quarter is the most depressing thing of all time.",Negative,"",""
"Suppose you were an idiot. And suppose you were a member of congress. But I repeat myself.",Neutral,"",""
"Bush was a symptom, not a cause.",Negative,"",""
"The bridge is over?",Neutral,"",""
"Fuckin' *PROPNAME*",Neutral,"",""
"Speech is my hammer",Neutral,"Glossaphobia,","Speech,"
"[The ""liberal media""] love to be denounced from the right, and the right loves to denounce them, because that makes them look like courageous defenders of freedom and independence while, in fact, they are imposing all of the presuppositions of the propaganda system.-Chomsky",Positive,"",""
"Stop the violence and start the revolution-Talib",Neutral,"",""
"When I give food to the poor, they call me a saint.  When I ask why the poor have no food, they call me a communist.-*PROPNAME*",Negative,"",""
"The best argument against democracy is a five-minute conversation with the average voter.",Positive,"",""
"What I didn't want: more characters on Heroes.",Negative,"",""
"And until peoples learn to spot the fanning of mass emotions and the sowing of bitterness, suspicion, and intolerance as crimes in themselves - as perhaps the greatest disservice that can be done to the cause of popular government - this sort of thing will continue to occur.",Negative,"",""
"Thank you, *PROPNAME*, for still being on the ballot so that stupid people could vote for you.",Negative,"",""
"""How impious is the title of sacred majesty applied to a worm, who in the midst of his splendor is crumbling into dust!""-*PROPNAME*.  They don't make writers like they used to.",Neutral,"",""
"""Fuck you, dolphin!""",Positive,"",""
"YANKEES WOOOO",Neutral,"",""
"""Necessity is the plea for every infringement of human freedom. It is the argument of tyrants; it is the creed of slaves."" - *PROPNAME*",Positive,"",""
"Steelers!",Positive,"",""
"""Britain's desire to be a big player on the world stage has delivered huge benefits including being dragged into a series of catastrophic wars with America's throbbing tumescence lodged firmly at the back of our throat, while at the same time being unable to afford decent roads, railways, schools and hospitals. It's what we call a 'win-win'.""",Positive,"",""
"My fucking computer got a virus.  Incredible.",Positive,"",""
"I have to quit drinking diet coke.  Much sadness and headaches.",Negative,"",""
"All aboard the U.S.S. Rational Basis.",Neutral,"",""
"Restoration! or, why LTS is incredible.",Positive,"",""
"Why do you insist that the human genetic code is ""sacred"" or ""taboo""? It is a chemical process and nothing more. For that matter -we- are chemical processes and nothing more. If you deny yourself a useful tool simply because it reminds you uncomfortably of your mortality, you have uselessly and pointlessly crippled yourself. Chairman *PROPNAME*, ""Looking God in the Eye""",Negative,"",""
"Spit so hard that it oughta be a crime",Neutral,"",""
"Spit it so hard it oughta be a crime.",Neutral,"",""
"Fucking *PROPNAME*.",Negative,"",""
"The mind of a child is where the revolution begins.",Neutral,"",""
"Kansas City Chiefs over Pittsburgh Steelers, 27-24.  Disgrace.",Negative,"",""
"I found my actual WEP key!!!!",Positive,"",""
"Classes over!  Home in a week.",Neutral,"",""
"FUCK. YES.",Positive,"",""
"""We're supposed to call it H1N1."" ""I refuse to back down to pig farmers.  Not today, not ever.""",Neutral,"",""
"Kill them all.  God will recognize his own.-*PROPNAME*",Neutral,"",""
"Face the facts. Then act on them. It's the only mantra I know, the only doctrine I have to offer you, and it's harder than you'd think, because I swear humans seem hardwired to do anything but. Face the facts. Don't pray, don't wish, don't buy into centuries-old dogma and dead rhetoric. Don't give in to your conditioning or your visions or your fucked-up sense of... whatever. FACE THE FACTS. THEN act.",Very negative,"",""
"Stability means we run it. There are countries that are very stable. Cuba is stable, but that’s not called stability.",Negative,"",""
"Avatar: Best Picture",Positive,"",""
"WOW New Orleans.",Neutral,"",""
"Now bamboo thinks it's wood, and that pisses me off.",Negative,"",""
"I PASSED STATS MOTHERFUCKER!!!!",Negative,"",""
"Hey, it actually is December.",Neutral,"",""
"And then, I got food poisoning.",Negative,"",""
"Show me a completely smooth operation and I'll show you a cover up. Real boats rock. -*PROPNAME*",Positive,"",""
"If I see another king, I think I shall bite him.-*PROPNAME*.",Negative,"",""
"Rule of the Great:    When people you greatly admire appear to be thinking deep thoughts, they are probably thinking about lunch.",Positive,"",""
"""We rule by consensus."" ""What if the Americans object?"" ""We don't operate.""",Neutral,"",""
"""Libertarianism is just anarchism for rich people.""",Neutral,"",""
"Progress is made by lazy men looking for easier ways to do things.-Heinlein",Negative,"",""
"""No one lets charms in the vehicle in the entire United States Marine Corps.""",Neutral,"",""
"R.I.P. *PROPNAME*.",Negative,"",""
"I didn't know this, but *PROPNAME* is apparently a Hebrew name that means ""The Lord Remembers,"" which is basically incredible.",Negative,"",""
"LET'S GO LIONS",Neutral,"",""
"*PROPNAME* was ejected from the New York State Senate, which is good, because he slashed his girlfriend with a knife.",Positive,"",""
"Good work, Golden Globes.",Positive,"",""
"It's the prophet versus them profits all the time.",Neutral,"",""
"Four day camping trip!!! Holy Crap! this is going to be fun...",Positive,"",""
"How do i change my name??",Neutral,"",""
"things just got really complicated",Positive,"",""
"Im back and sunburned bad... ill just have to live with it i guess.",Negative,"",""
"bored to tears... well not literally but... im still bored!",Negative,"",""
"Whats on MY mind........ well hopefully the top of my head.....",Positive,"",""
"happy fourth everyone",Positive,"",""
"is still doing nothing all summer",Negative,"",""
"The first day of school was SSLOOOOOWW...... hopefuly it will get better as the year gos on",Negative,"",""
"FOOTBALL!!!!! first scrimmage today! its gonna be awesome!!!",Neutral,"",""
"I think its fun to run circles around someone while they are running and even better if the get tired first!",Neutral,"",""
